Year,Date,Opponent,Score,Result,Location,stadium
2024,2024-10-20,NYJ,37-15,W,Home,Acrisure Stadium
2024,2024-10-28,NYG,26-18,W,Home,Acrisure Stadium
2024,2024-11-10,WAS,28-27,L,Away,FedExField
2024,2024-11-17,BAL,18-16,W,Home,Acrisure Stadium
2024,2024-11-21,CLE,19-24,W,Away,FirstEnergy Stadium
2024,2024-12-01,CIN,44-38,L,Away,Paycor Stadium
2024,2024-12-08,CLE,27-14,W,Home,Acrisure Stadium
2024,2024-12-15,PHI,13-27,W,Away,Lincoln Financial Field
2024,2024-12-21,BAL,17-34,W,Away,M&T Bank Stadium
2024,2024-12-25,KC,10-29,L,Home,Acrisure Stadium
2024,2025-01-04,CIN,17-19,L,Home,Acrisure Stadium
2024,2025-01-11,BAL,14-28,W,Away,M&T Bank Stadium
